id,added_at,album_type,artist,name,personal_type,popularity,release_date,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0mdIIgjVubCqYTBdCpP5k9,2018-09-14T00:10:06Z,single,KIAN,Waiting,favourite,69,2018-07-18,0.344,https://api.spotify.com/v1/audio-analysis/0mdIIgjVubCqYTBdCpP5k9,0.783,215688,0.465,0.0,4,0.0875,-7.335,0,0.0471,138.038,4,https://api.spotify.com/v1/tracks/0mdIIgjVubCqYTBdCpP5k9,audio_features,spotify:track:0mdIIgjVubCqYTBdCpP5k9,0.48
3EPXxR3ImUwfayaurPi3cm,2018-09-14T00:10:06Z,single,Dean Lewis,Be Alright,favourite,92,2018-06-29,0.697,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,audio_features,spotify:track:3EPXxR3ImUwfayaurPi3cm,0.443
5zxwumO0laRosoeOvbVSvc,2018-09-14T00:10:06Z,album,Mitch James,Mitch James - Deluxe Edition,favourite,35,2018-09-14,0.259,https://api.spotify.com/v1/audio-analysis/5zxwumO0laRosoeOvbVSvc,0.799,182907,0.373,0.0,7,0.166,-8.999,1,0.0558,98.035,4,https://api.spotify.com/v1/tracks/5zxwumO0laRosoeOvbVSvc,audio_features,spotify:track:5zxwumO0laRosoeOvbVSvc,0.534
4E2s2lCNKxbWJMwHPMzOfq,2018-09-14T00:10:06Z,album,The Rubens,LO LA RU,favourite,71,2018-06-29,0.398,https://api.spotify.com/v1/audio-analysis/4E2s2lCNKxbWJMwHPMzOfq,0.729,199787,0.399,0.0,6,0.124,-7.159,0,0.04,111.893,4,https://api.spotify.com/v1/tracks/4E2s2lCNKxbWJMwHPMzOfq,audio_features,spotify:track:4E2s2lCNKxbWJMwHPMzOfq,0.239
4T3fNx3CgwDRRYgmFCbD4J,2018-09-14T00:10:06Z,single,Khalid,Better,favourite,40,2018-09-14,0.0984,https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J,0.442,229413,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,4,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J,audio_features,spotify:track:4T3fNx3CgwDRRYgmFCbD4J,0.116
6914ZWSnIGPlQkNgQldTmT,2018-09-14T00:10:06Z,album,Amy Shark,Love Monster,favourite,65,2018-07-13,0.0264,https://api.spotify.com/v1/audio-analysis/6914ZWSnIGPlQkNgQldTmT,0.565,210000,0.603,4.02e-05,9,0.0738,-6.33,1,0.177,177.996,4,https://api.spotify.com/v1/tracks/6914ZWSnIGPlQkNgQldTmT,audio_features,spotify:track:6914ZWSnIGPlQkNgQldTmT,0.171
53jbdPQBaH6WaQvW0zmGBs,2018-09-14T00:10:06Z,single,King Princess,Talia,favourite,68,2018-04-13,0.549,https://api.spotify.com/v1/audio-analysis/53jbdPQBaH6WaQvW0zmGBs,0.401,207720,0.507,0.0,2,0.164,-7.001,1,0.089,180.159,4,https://api.spotify.com/v1/tracks/53jbdPQBaH6WaQvW0zmGBs,audio_features,spotify:track:53jbdPQBaH6WaQvW0zmGBs,0.236
0d2iYfpKoM0QCKvcLCkBao,2018-09-14T00:10:06Z,single,benny blanco,Eastside (with Halsey & Khalid),favourite,97,2018-07-12,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,audio_features,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319
5mTJcvxRxq3uF5wUjjciDw,2018-09-14T00:10:06Z,album,Troye Sivan,Bloom,favourite,77,2018-08-31,0.579,https://api.spotify.com/v1/audio-analysis/5mTJcvxRxq3uF5wUjjciDw,0.612,208967,0.694,0.0,2,0.0914,-7.363,1,0.0514,103.031,4,https://api.spotify.com/v1/tracks/5mTJcvxRxq3uF5wUjjciDw,audio_features,spotify:track:5mTJcvxRxq3uF5wUjjciDw,0.564
36qh3jgsWjKLDBTeBb3lWW,2018-09-14T00:10:06Z,single,Ivy Adara,Rebels,favourite,64,2018-08-24,0.108,https://api.spotify.com/v1/audio-analysis/36qh3jgsWjKLDBTeBb3lWW,0.68,176272,0.629,0.0,6,0.0829,-5.673,1,0.0458,103.883,4,https://api.spotify.com/v1/tracks/36qh3jgsWjKLDBTeBb3lWW,audio_features,spotify:track:36qh3jgsWjKLDBTeBb3lWW,0.138
